rok;zima;wiosna;lato;jesien;roczna
2000;0.5;9.9;16.9;10.2;9.5
2001;0.5;7.9;17.6;8.7;8.3
2002;0.2;9.7;19.0;8.3;9.1
2003;-3.8;8.2;18.6;8.3;8.3
2004;-0.9;7.9;17.1;9.1;8.3
2005;-0.1;7.3;17.2;9.3;8.3
2006;-3.2;7.0;18.7;11.0;8.7
2007;2.7;10.0;18.3;7.6;9.4
2008;1.7;8.4;18.0;9.1;9.4
2009;-0.7;8.8;17.5;9.3;8.5
2010;-3.2;7.9;18.7;8.0;7.5
2011;-3.0;8.9;17.9;9.0;8.9
2012;-1.2;9.3;18.0;9.4;8.5
2013;-1.8;6.8;18.3;9.2;8.5
2014;1.3;9.8;17.9;10.0;9.6
2015;1.1;8.5;18.9;9.3;9.7
2016;1.8;9.0;18.2;8.9;9.2
2017;-0.9;8.8;18.2;9.4;9.0
2018;0.1;9.8;19.5;10.2;9.8
2019;1.0;9.2;19.9;10.4;10.2
2020;3.1;8.1;18.6;10.4;9.9
